transport,page,profile,apiLatencyMs,cacheState,auth,fcpMs,lcpMs,lcpElement,cls,ttfbLocalMs,domContentLoadedMs,loadEventMs,requests,transferredBytes,decodedBytes,apiCalls,apiResponseBytes,scriptDurationMs,layoutDurationMs,recalcStyleMs,taskDurationMs,longTasks,longTaskMs
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,600,cold,logged-out,408,408,,0,2,427,465,17,50442,147313,2,14374,27,115,42,430,2,134
BEFORE fixes - gzip (representative of GitHub Pages),/store.html?store=bong,mobile-4g,600,cold,logged-out,420,420,,0.0503,1,445,468,22,64904,196508,6,23442,33,106,59,505,2,156
BEFORE fixes - gzip (representative of GitHub Pages),/product.html?store=bong&product=p0,mobile-4g,600,cold,logged-out,416,1140,h2.section-title,0.8471,1,448,478,20,63615,192771,4,4558,38,142,87,582,2,142
BEFORE fixes - gzip (representative of GitHub Pages),/search.html?q=rice,mobile-4g,600,cold,logged-out,384,384,h1,0,2,401,430,14,51703,155856,2,11576,25,79,55,408,2,110
BEFORE fixes - gzip (representative of GitHub Pages),/stores.html,mobile-4g,600,cold,logged-out,336,336,,0,1,445,470,13,49766,148331,1,2863,27,70,56,378,1,60
BEFORE fixes - gzip (representative of GitHub Pages),/categories.html,mobile-4g,600,cold,logged-out,364,364,span.category-rail-label,0,1,383,393,14,49843,148413,2,11576,27,97,44,390,2,127
BEFORE fixes - gzip (representative of GitHub Pages),/cart.html,mobile-4g,600,cold,logged-out,404,404,h1,0,2,420,447,13,59259,178590,0,0,24,77,14,249,1,78
BEFORE fixes - gzip (representative of GitHub Pages),/customer-dashboard.html,mobile-4g,600,cold,logged-out,344,344,h1,0,1,343,349,10,44318,138105,0,0,35,90,19,385,0,0
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,desktop-fast,600,cold,logged-out,76,76,h2,0,1,67,72,18,50442,147313,2,14374,5,27,13,109,0,0
BEFORE fixes - gzip (representative of GitHub Pages),/store.html?store=bong,desktop-fast,600,cold,logged-out,84,84,,0.0313,1,74,76,22,64904,196508,6,23442,9,27,14,122,0,0
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,desktop-slow,600,cold,logged-out,608,608,h2,0,1,705,712,18,50442,147313,2,14374,7,30,15,122,0,0
BEFORE fixes - gzip (representative of GitHub Pages),/store.html?store=bong,desktop-slow,600,cold,logged-out,684,684,,0.0313,1,762,765,22,64904,196508,6,23442,8,29,15,128,0,0
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,600,cold,logged-out,368,368,,0,1,390,429,17,50442,147313,2,14374,30,104,50,444,2,122
BEFORE fixes - gzip (representative of GitHub Pages),/store.html?store=bong,mobile-4g,600,cold,logged-out,424,424,,0.0503,1,474,509,22,64904,196508,6,23442,59,108,69,588,3,226
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-slow3g,600,cold,logged-out,2020,2020,,0,1,2066,2123,17,50442,147313,2,14374,40,172,71,703,3,270
BEFORE fixes - gzip (representative of GitHub Pages),/store.html?store=bong,mobile-slow3g,600,cold,logged-out,2328,2328,,0.0503,1,2404,2444,22,64904,196508,6,23442,65,179,85,789,3,341
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,0,cold,logged-out,376,376,,0,1,401,436,17,50442,147313,2,14374,29,131,17,402,3,200
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,300,cold,logged-out,388,388,,0,1,401,439,17,50442,147313,2,14374,27,113,37,398,2,134
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,600,cold,logged-out,376,376,,0,1,395,427,17,50442,147313,2,14374,28,104,47,431,1,74
BEFORE fixes - gzip (representative of GitHub Pages),/index.html,mobile-4g,1200,cold,logged-out,388,388,,0,1,414,456,16,50442,147313,2,14374,24,110,74,522,2,140
